Kota;Kecamatan;Kelurahan;NamaJalan;NilaiNJOP2025;LuasTanah;JarakPusatKota;RumahSakit;Sekolah;Mall;Polisi;Ibadah;Toll;HargaEstimasi
Jakarta Timur;Matraman;Pal Meriam;Jl. Pal Meriam Utama;6733000.0;181.0;16.7;3.4;1.5;3.0;1.4;1.5;5.0;1474044257.5834694
Jakarta Timur;Matraman;Pal Meriam;Jl. Pal Meriam Raya;13794000.0;129.0;19.9;0.5;1.6;3.1;2.2;0.8;7.5;2202272270.86536
Jakarta Timur;Matraman;Pal Meriam;Jl. Pal Meriam I;8963000.0;206.0;12.3;1.7;1.3;2.9;2.0;0.7;6.1;2267831103.0440497
Jakarta Timur;Matraman;Pal Meriam;Jl. Pal Meriam II;11768000.0;107.0;17.8;3.4;0.5;2.8;0.9;0.7;1.7;1655164389.7608988
Jakarta Timur;Matraman;Pal Meriam;Jl. Pal Meriam III;19542000.0;193.0;9.0;2.4;0.3;3.3;2.0;0.3;1.5;5050503984.144656
Jakarta Timur;Matraman;Pal Meriam;Jl. Pal Meriam IV;10350000.0;100.0;10.0;3.8;1.1;0.6;2.9;1.0;6.6;1325572708.2128396
Jakarta Timur;Matraman;Pal Meriam;Jl. Pal Meriam Barat;17402000.0;208.0;12.1;3.8;1.9;1.0;4.1;0.2;5.4;4567688058.018317
Jakarta Timur;Matraman;Pal Meriam;Jl. Pal Meriam Timur;19217000.0;228.0;19.0;3.8;1.7;2.0;3.7;1.3;1.6;5597608287.0351925
Jakarta Timur;Matraman;Pal Meriam;Jl. Pal Meriam Selatan;14550000.0;69.0;15.7;3.9;1.4;2.7;1.4;0.5;2.1;1278469255.6779358
Jakarta Timur;Matraman;Pal Meriam;Jl. Pal Meriam Utara;18537000.0;153.0;8.9;3.5;1.9;3.2;4.6;1.1;5.9;3380069575.1694474
Jakarta Timur;Matraman;Pisangan Baru;Jl. Pisangan Baru Utama;15049000.0;196.0;9.8;0.6;0.3;2.5;1.0;0.7;6.7;3834906460.5717797
